Well ID	Time ID	Median C2	Median C3					
103111009	9	21947	17831					
103111102	1	26652	27043					
103111102	2	25844	27422					
103111102	3	24154	27701					
103111102	4	24633	28723					
103111102	5	25683	29617					
103111102	6	24564	28054					
103111102	7	24976	28633					
103111102	8	25332	27724					
103111102	9	25879	28381					
103111106	1	25148	14623					
103111106	2	24657	15321					
103111106	3	25967	16778					
103111106	4	24784	17556					
103111106	5	26350	17896					
103111106	6	27088	18374					
103111106	7	26268	17988					
103111106	8	26959	17985					
103111106	9	26730	18005					
103111109	1	19560	22787					
103111109	2	19520	22427					
103111109	3	19509	23697					
103111109	4	19715	24139					
103111109	5	20598	24116					
103111109	6	20104	24217					
103111109	7	20624	24217					
103111109	8	20738	23435					
103111109	9	20510	23520					
103111111	1	27955	20862					
103111111	2	31762	21680					
103111111	3	31468	21776					
103111111	4	30234	22364					
103111111	5	29128	22539					
103111111	6	28708	22521					
103111111	7	28431	21253					
103111111	8	30212	21869					
103111111	9	28637	21614					
104100104	1	20475	14390					
104100104	2	20866	14426					
104100104	3	20050	15587					
104100104	4	21201	16339					
104100104	5	20905	16882					
104100104	6	22420	16693					
104100104	7	21621	16490					
104100104	8	21340	16677					
104100104	9	22744	16993					
104100107	1	25670	12922					
104100107	2	24149	13355					
104100107	3	24422	13882					
104100107	4	24735	14652					
104100107	5	25757	15103					
104100107	6	25127	15186					
104100107	7	25120	15783					
104100107	8	25872	15556					
104100107	9	25872	15395					
104100201	1	22855	22687					
104100201	2	25847	23788					
104100201	3	24421	24104					
104100201	4	25148	24706					
104100201	5	26577	25944					
104100201	6	25059	24986					
104100201	7	25637	25770					
104100201	8	25397	25439					
104100201	9	25155	25476					
104100207	1	21430	13521					
104100207	2	21549	14071					
104100207	3	22067	14189					
104100207	4	22334	14956					
104100207	5	22626	15668					
104100207	6	23665	15824					
104100207	7	23391	15626					
104100207	8	23381	15632					
104100207	9	24049	16282					
104100209	1	18681	16817					
104100209	2	19328	17098					
104100209	3	20112	18330					
104100209	4	19283	18435					
104100209	5	20819	18567					
104100209	6	20607	18674					
104100209	7	21235	19107					
104100209	8	20927	19372					
104100209	9	20511	19159					
